vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
640e-3,0,-0,2,14e-9,-0,68.7976e-18,-282.899e-3,419.558e-6,51.6517e-15,-13.5903e-18,128.519e-18,59.5444e-18,59.5444e-18,
660e-3,0,-0,2,14e-9,-0,69.2895e-18,-282.899e-3,437.444e-6,63.7692e-15,-13.8166e-18,129.955e-18,60.2626e-18,60.2626e-18,
680e-3,0,-0,2,14e-9,-0,69.7569e-18,-282.899e-3,454.77e-6,78.521e-15,-14.0314e-18,131.32e-18,60.9449e-18,60.9449e-18,
700e-3,0,-0,2,14e-9,-0,70.2018e-18,-282.899e-3,471.529e-6,96.4508e-15,-14.2357e-18,132.618e-18,61.5941e-18,61.5941e-18,
720e-3,0,-0,2,14e-9,-0,70.6259e-18,-282.899e-3,487.718e-6,118.21e-15,-14.4302e-18,133.855e-18,62.2127e-18,62.2127e-18,
740e-3,0,-0,2,14e-9,-0,71.0308e-18,-282.899e-3,503.338e-6,144.579e-15,-14.6157e-18,135.036e-18,62.8031e-18,62.8031e-18,
760e-3,0,-0,2,14e-9,-0,71.418e-18,-282.899e-3,518.391e-6,176.494e-15,-14.7928e-18,136.165e-18,63.3673e-18,63.3673e-18,
780e-3,0,-0,2,14e-9,-0,71.7885e-18,-282.899e-3,532.882e-6,215.071e-15,-14.9621e-18,137.244e-18,63.9072e-18,63.9072e-18,
800e-3,0,-0,2,14e-9,-0,72.1437e-18,-282.899e-3,546.817e-6,261.65e-15,-15.1242e-18,138.279e-18,64.4245e-18,64.4245e-18,
0,0,-0,6,14e-9,-0,108.187e-18,-285.265e-3,59.4445e-9,-10.2917e-51,-6.0118e-21,115.82e-18,43.7648e-18,43.7648e-18,
20e-3,0,-0,6,14e-9,-0,109.049e-18,-285.265e-3,113.953e-9,5.8788e-18,-12.1212e-21,117.556e-18,44.6331e-18,44.6331e-18,
40e-3,0,-0,6,14e-9,-0,109.96e-18,-285.265e-3,218.362e-9,9.3202e-18,-24.3869e-21,119.403e-18,45.5564e-18,45.5564e-18,
60e-3,0,-0,6,14e-9,-0,110.926e-18,-285.265e-3,418.136e-9,10.9817e-18,-48.9388e-21,121.383e-18,46.5465e-18,46.5465e-18,
80e-3,0,-0,6,14e-9,-0,111.96e-18,-285.265e-3,799.589e-9,11.543e-18,-97.8588e-21,123.551e-18,47.6303e-18,47.6303e-18,
100e-3,0,-0,6,14e-9,-0,113.099e-18,-285.265e-3,1.5250e-6,11.8562e-18,-194.587e-21,126.021e-18,48.8656e-18,48.8656e-18,
120e-3,0,-0,6,14e-9,-0,114.412e-18,-285.265e-3,2.8948e-6,13.2308e-18,-383.279e-21,129.025e-18,50.3675e-18,50.3675e-18,
140e-3,0,-0,6,14e-9,-0,116.032e-18,-285.265e-3,5.4463e-6,17.9728e-18,-742.594e-21,132.982e-18,52.3462e-18,52.3462e-18,
160e-3,0,-0,6,14e-9,-0,118.172e-18,-285.265e-3,10.0874e-6,30.4897e-18,-1.3986e-18,138.575e-18,55.1426e-18,55.1426e-18,
180e-3,0,-0,6,14e-9,-0,121.114e-18,-285.265e-3,18.2034e-6,61.0048e-18,-2.5172e-18,146.696e-18,59.2029e-18,59.2029e-18,
200e-3,0,-0,6,14e-9,-0,125.094e-18,-285.265e-3,31.5819e-6,121.971e-18,-4.2409e-18,158.104e-18,64.9068e-18,64.9068e-18,
220e-3,0,-0,6,14e-9,-0,130.118e-18,-285.265e-3,51.9924e-6,228.446e-18,-6.5797e-18,172.83e-18,72.2699e-18,72.2699e-18,
240e-3,0,-0,6,14e-9,-0,135.879e-18,-285.265e-3,80.5559e-6,401.986e-18,-9.3573e-18,189.907e-18,80.8084e-18,80.8083e-18,
260e-3,0,-0,6,14e-9,-0,141.911e-18,-285.265e-3,117.382e-6,667.949e-18,-12.3025e-18,207.861e-18,89.7853e-18,89.7853e-18,
280e-3,0,-0,6,14e-9,-0,147.82e-18,-285.265e-3,161.729e-6,1.0553e-15,-15.1869e-18,225.448e-18,98.5792e-18,98.5792e-18,
300e-3,0,-0,6,14e-9,-0,153.382e-18,-285.265e-3,212.423e-6,1.5983e-15,-17.8836e-18,241.965e-18,106.838e-18,106.838e-18,
320e-3,0,-0,6,14e-9,-0,158.51e-18,-285.265e-3,268.212e-6,2.3377e-15,-20.348e-18,257.15e-18,114.43e-18,114.43e-18,
340e-3,0,-0,6,14e-9,-0,163.197e-18,-285.265e-3,327.94e-6,3.3239e-15,-22.581e-18,270.989e-18,121.35e-18,121.35e-18,
360e-3,0,-0,6,14e-9,-0,167.47e-18,-285.265e-3,390.606e-6,4.6183e-15,-24.6019e-18,283.578e-18,127.644e-18,127.644e-18,
380e-3,0,-0,6,14e-9,-0,171.371e-18,-285.265e-3,455.367e-6,6.2968e-15,-26.4354e-18,295.046e-18,133.378e-18,133.378e-18,
400e-3,0,-0,6,14e-9,-0,174.94e-18,-285.265e-3,521.516e-6,8.4519e-15,-28.1053e-18,305.524e-18,138.617e-18,138.617e-18,
420e-3,0,-0,6,14e-9,-0,178.216e-18,-285.265e-3,588.464e-6,11.1971e-15,-29.6329e-18,315.132e-18,143.421e-18,143.421e-18,
440e-3,0,-0,6,14e-9,-0,181.234e-18,-285.265e-3,655.719e-6,14.6705e-15,-31.0364e-18,323.975e-18,147.842e-18,147.842e-18,
460e-3,0,-0,6,14e-9,-0,184.023e-18,-285.265e-3,722.873e-6,19.0403e-15,-32.3312e-18,332.143e-18,151.927e-18,151.927e-18,
480e-3,0,-0,6,14e-9,-0,186.61e-18,-285.265e-3,789.582e-6,24.5109e-15,-33.5302e-18,339.714e-18,155.712e-18,155.712e-18,
500e-3,0,-0,6,14e-9,-0,189.016e-18,-285.265e-3,855.563e-6,31.3303e-15,-34.6445e-18,346.756e-18,159.233e-18,159.233e-18,
520e-3,0,-0,6,14e-9,-0,191.262e-18,-285.265e-3,920.58e-6,39.7985e-15,-35.6832e-18,353.324e-18,162.517e-18,162.517e-18,
540e-3,0,-0,6,14e-9,-0,193.363e-18,-285.265e-3,984.441e-6,50.2788e-15,-36.6545e-18,359.468e-18,165.589e-18,165.589e-18,
560e-3,0,-0,6,14e-9,-0,195.334e-18,-285.265e-3,1.0469e-3,63.2098e-15,-37.5651e-18,365.231e-18,168.471e-18,168.471e-18,
580e-3,0,-0,6,14e-9,-0,197.187e-18,-285.265e-3,1.1081e-3,79.1206e-15,-38.4209e-18,370.65e-18,171.18e-18,171.18e-18,
