it,Gain,UGF,BW,Pole_2,Power,CMRR,SR,vds_0,vds_1,vds_2,vds_sat_0,vds_sat_1,vds_sat_2,TEs_0,TEs_1,TEs_2,Fins_0,Fins_1,Fins_2,I_s,I_tail
1,22.339531628149977,15033085.80962018,1148342.8086647503,1076270725534.6327,4.772628102880742e-05,41.5780488904873,9.942276989059481,0.2348348348348348,0.48868868868868864,0.4764764764764765,0.2,0.10526315789473684,0.2,10,19,10,4.739379291834062,11.033812107723184,2.127902993484506,4.7758357164673826e-05,3.96841229182113e-05
2,22.297591011889438,14969355.261041127,1149009.302594408,589252433773.5092,3.9260091437713744e-05,46.4513292138929,8.178215211640678,0.26926926926926925,0.5503503503503502,0.3803803803803804,0.1111111111111111,0.08695652173913043,0.11764705882352941,18.0,23.0,17.0,16.07483515553982,17.67656814413456,6.596827835623545,3.672584451619049e-05,3.278301038365953e-05
3,22.29860358361174,14967610.32353617,1148741.4414591843,588500898020.4222,3.9250938722746235e-05,46.44125668431231,8.176308735372226,0.26926926926926925,0.5503503503503502,0.3803803803803804,0.1112741020825758,0.08694638523192376,0.11779729813709511,17.97363413919811,23.0026814187287,16.978318107706983,16.072961247593184,17.67450751575523,6.596058816968973,3.672156323733321e-05,3.277918873677617e-05
4,22.29860358361174,14967610.32353617,1148741.4414591843,588500898020.4222,3.9250938722746235e-05,46.44125668431231,8.176308735372226,0.26926926926926925,0.5503503503503502,0.3803803803803804,0.1112741020825758,0.08694638523192376,0.11779729813709511,17.97363413919811,23.0026814187287,16.978318107706983,16.072961247593184,17.67450751575523,6.596058816968973,3.672156323733321e-05,3.277918873677617e-05
5,22.29860358361174,14967610.32353617,1148741.4414591843,588500898020.4222,3.9250938722746235e-05,46.44125668431231,8.176308735372226,0.26926926926926925,0.5503503503503502,0.3803803803803804,0.1112741020825758,0.08694638523192376,0.11779729813709511,17.97363413919811,23.0026814187287,16.978318107706983,16.072961247593184,17.67450751575523,6.596058816968973,3.672156323733321e-05,3.277918873677617e-05
6,22.31080856464521,14982203.644507088,1148246.8631475961,599208767197.1449,3.9318465364940314e-05,46.441494546958246,8.190380238703069,0.26926926926926925,0.5487487487487486,0.381981981981982,0.11218414995444104,0.08701119888266295,0.11860326272472463,17.82783040930664,22.98554698340677,16.86294250304018,15.630705201178062,17.714616201156353,6.416624380851524,3.6776723405096095e-05,3.280361872767453e-05
7,22.31080856464521,14982203.644507088,1148246.8631475961,599208767197.1449,3.9318465364940314e-05,46.441494546958246,8.190380238703069,0.26926926926926925,0.5487487487487486,0.381981981981982,0.11218414995444104,0.08701119888266295,0.11860326272472463,17.82783040930664,22.98554698340677,16.86294250304018,15.630705201178062,17.714616201156353,6.416624380851524,3.6776723405096095e-05,3.280361872767453e-05
8,22.308900774876236,14985494.664175235,1148751.3760800243,598000831303.6036,3.9335741472545006e-05,46.42205933102332,8.193978790594306,0.26926926926926925,0.5487487487487486,0.381981981981982,0.11245640660563022,0.08703031233142713,0.11884283620127647,17.784669280903987,22.980498936780084,16.82894875222204,15.634138866512133,17.718507648328657,6.418033948776625,3.6784802308679236e-05,3.2810824841986555e-05
9,22.308900774876236,14985494.664175235,1148751.3760800243,598000831303.6036,3.9335741472545006e-05,46.42205933102332,8.193978790594306,0.26926926926926925,0.5487487487487486,0.381981981981982,0.11245640660563022,0.08703031233142713,0.11884283620127647,17.784669280903987,22.980498936780084,16.82894875222204,15.634138866512133,17.718507648328657,6.418033948776625,3.6784802308679236e-05,3.2810824841986555e-05
10,22.30777467636247,14987437.571972031,1149049.2756407373,597288293948.8422,3.9345942489430504e-05,46.43402961993886,8.196103626136587,0.26926926926926925,0.5487487487487486,0.381981981981982,0.11261783034302704,0.08704159627155648,0.11898461021727026,17.75917715612281,22.977519779856813,16.80889651483437,15.415299998173474,17.720805028461236,6.4188661104900575,3.680321336738164e-05,3.281507909062992e-05
