Vd0,Vd1,Id0,Id1,Rout,Cout
0.0,0.0,0.0,0.0,-55555555.55555556,2.812267844433791e-16
0.0,0.04211,5.728e-14,-4.061e-10,-226449275.3623188,2.6785776922365993e-16
0.0,0.08421,1.524e-13,-5.12e-10,-710227272.7272729,2.5576199354867567e-16
0.0,0.1263,2.934e-13,-5.581e-10,-1051745898.1909968,2.44939457418427e-16
0.0,0.1684,4.898e-13,-5.982e-10,-1023960679.9098917,2.3523100588982124e-16
0.0,0.2105,7.526e-13,-6.41e-10,-946969696.9696972,2.2679579390595073e-16
0.0,0.2526,1.095e-12,-6.869e-10,-889679715.3024912,2.1931551158063172e-16
0.0,0.2947,1.531e-12,-7.354e-10,-851063829.7872342,2.1279015891386403e-16
0.0,0.3368,2.08e-12,-7.857e-10,-823723228.9950576,2.06901426019464e-16
0.0,0.3789,2.761e-12,-8.375e-10,-802568218.2985554,2.0164931289743136e-16
0.0,0.4211,3.599e-12,-8.906e-10,-784929356.3579279,1.9687466460467452e-16
0.0,0.4632,4.621e-12,-9.447e-10,-770416024.6533127,1.9273663608428529e-16
0.0,0.5053,5.858e-12,-9.998e-10,-757575757.5757575,1.8891691745007978e-16
0.0,0.5474,7.349e-12,-1.056e-09,-745712155.1081283,1.852563537589661e-16
0.0,0.5895,9.137e-12,-1.113e-09,-734753857.4577516,1.820732548971283e-16
0.0,0.6316,1.127e-11,-1.171e-09,-723065798.9877079,1.7904931097838224e-16
0.0,0.6737,1.381e-11,-1.229e-09,-707714083.5102618,1.7634367694582004e-16
0.0,0.7158,1.682e-11,-1.29e-09,-678426051.5603797,1.7379719785634974e-16
0.0,0.7579,2.038e-11,-1.355e-09,-616142945.1632779,1.7140987370997128e-16
0.0,0.8,2.458e-11,-1.43e-09,-503271263.2108707,1.6918170450668473e-16
0.04211,0.0,0.0,0.0,-13528138.528138531,2.9443664472000627e-16
0.04211,0.04211,-1.667e-09,-1.667e-09,-55157198.01434087,2.802718547848277e-16
0.04211,0.08421,-1.667e-09,-2.102e-09,-173280194.07381734,2.6706199450820043e-16
0.04211,0.1263,-1.667e-09,-2.291e-09,-257003341.04343358,2.5496621883321636e-16
0.04211,0.1684,-1.667e-09,-2.455e-09,-250501002.00400802,2.441436827029674e-16
0.04211,0.2105,-1.667e-09,-2.629e-09,-231803430.69077423,2.3459438611745375e-16
0.04211,0.2526,-1.667e-09,-2.817e-09,-218197687.10451669,2.2615917413358323e-16
0.04211,0.2947,-1.666e-09,-3.014e-09,-208986415.8829676,2.186788918082642e-16
0.04211,0.3368,-1.666e-09,-3.219e-09,-202511138.1125962,2.1215353914149644e-16
0.04211,0.3789,-1.665e-09,-3.43e-09,-197667523.22593397,2.0642396119018826e-16
0.04211,0.4211,-1.665e-09,-3.645e-09,-193873594.4164405,2.0117184806815568e-16
0.04211,0.4632,-1.664e-09,-3.864e-09,-190766882.86913392,1.9639719977539883e-16
0.04211,0.5053,-1.663e-09,-4.086e-09,-188146754.46848541,1.922591712550096e-16
