Vd0,Vd1,Id0,Id1,Rout,Cout
0.0,0.0,0.0,0.0,-59066745.42232722,2.812267844433791e-16
0.0,0.04211,5.728e-14,-3.815e-10,-241954996.37067512,2.6785776922365983e-16
0.0,0.08421,1.524e-13,-4.799e-10,-773993808.0495354,2.5576199354867587e-16
0.0,0.1263,2.934e-13,-5.217e-10,-1173433466.3224597,2.449394574184269e-16
0.0,0.1684,4.898e-13,-5.574e-10,-1156470452.1799471,2.352310058898212e-16
0.0,0.2105,7.526e-13,-5.951e-10,-1077934677.1585646,2.267957939059508e-16
0.0,0.2526,1.095e-12,-6.354e-10,-1021033285.6851133,2.1931551158063182e-16
0.0,0.2947,1.531e-12,-6.774e-10,-984251968.5039369,2.127901589138641e-16
0.0,0.3368,2.08e-12,-7.208e-10,-958772770.8533075,2.0690142601946404e-16
0.0,0.3789,2.761e-12,-7.651e-10,-941619585.6873823,2.0164931289743134e-16
0.0,0.4211,3.599e-12,-8.102e-10,-927643784.786642,1.968746646046745e-16
0.0,0.4632,4.621e-12,-8.559e-10,-916590284.1429882,1.9273663608428524e-16
0.0,0.5053,5.858e-12,-9.02e-10,-908265213.4423251,1.8891691745007976e-16
0.0,0.5474,7.349e-12,-9.486e-10,-900090009.0008999,1.8525635375896619e-16
0.0,0.5895,9.137e-12,-9.956e-10,-892857142.8571428,1.8207325489712827e-16
0.0,0.6316,1.127e-11,-1.043e-09,-884173297.9664016,1.7904931097838224e-16
0.0,0.6737,1.381e-11,-1.091e-09,-869565217.3913044,1.7634367694582004e-16
0.0,0.7158,1.682e-11,-1.14e-09,-832639467.1107409,1.7379719785634974e-16
0.0,0.7579,2.038e-11,-1.193e-09,-746268656.7164178,1.7140987370997133e-16
0.0,0.8,2.458e-11,-1.256e-09,-590318772.136954,1.6918170450668473e-16
0.04211,0.0,0.0,0.0,-14388489.208633095,2.9443664472000637e-16
0.04211,0.04211,-1.566e-09,-1.566e-09,-58927519.15144373,2.8027185478482776e-16
0.04211,0.08421,-1.566e-09,-1.97e-09,-188893086.51303363,2.670619945082004e-16
0.04211,0.1263,-1.566e-09,-2.141e-09,-286861732.6448652,2.5496621883321627e-16
0.04211,0.1684,-1.566e-09,-2.287e-09,-283045570.33682424,2.4414368270296744e-16
0.04211,0.2105,-1.566e-09,-2.441e-09,-264200792.60237786,2.3459438611745365e-16
0.04211,0.2526,-1.565e-09,-2.605e-09,-250563768.47907788,2.2615917413358333e-16
0.04211,0.2947,-1.565e-09,-2.777e-09,-241837968.5610641,2.1867889180826418e-16
0.04211,0.3368,-1.565e-09,-2.953e-09,-236183278.22390175,2.121535391414965e-16
0.04211,0.3789,-1.564e-09,-3.133e-09,-232342007.43494424,2.0642396119018826e-16
0.04211,0.4211,-1.563e-09,-3.315e-09,-229673863.11437762,2.0117184806815566e-16
0.04211,0.4632,-1.563e-09,-3.499e-09,-227790432.8018223,1.9639719977539888e-16
0.04211,0.5053,-1.562e-09,-3.685e-09,-226398007.69753227,1.9225917125500956e-16
0.04211,0.5474,-1.56e-09,-3.871e-09,-225479143.17925587,1.8843945262080415e-16
0.04211,0.5895,-1.559e-09,-4.058e-09,-224921277.5528565,1.849380438727824e-16
0.04211,0.6316,-1.557e-09,-4.245e-09,-224618149.14645103,1.8175494501094448e-16
0.04211,0.6737,-1.555e-09,-4.433e-09,-224517287.83116305,1.7873100109219845e-16
0.04211,0.7158,-1.552e-09,-4.62e-09,-224114746.75033614,1.7602536705963627e-16
0.04211,0.7579,-1.549e-09,-4.809e-09,-222321031.5695865,1.7347888797016587e-16
0.04211,0.8,-1.546e-09,-5e-09,-216309755.5699762,1.7109156382378746e-16
0.08421,0.0,0.0,0.0,-3505082.3694356824,3.0796481488281737e-16
0.08421,0.04211,-8.089e-09,-6.431e-09,-14355440.71202986,2.9364087000454686e-16
0.08421,0.08421,-8.089e-09,-8.089e-09,-46019328.11780948,2.7947608006936816e-16
0.08421,0.1263,-8.089e-09,-8.792e-09,-69930069.93006992,2.6626621979274083e-16
0.08421,0.1684,-8.089e-09,-9.391e-09,-69013112.49137336,2.543295990608487e-16
0.08421,0.2105,-8.089e-09,-1.002e-08,-64432989.69072165,2.4350706293059995e-16
0.08421,0.2526,-8.089e-09,-1.069e-08,-61124694.37652813,2.339577663450861e-16
0.08421,0.2947,-8.089e-09,-1.14e-08,-58997050.14749263,2.255225543612157e-16
0.08421,0.3368,-8.088e-09,-1.212e-08,-57670126.87427913,2.182014269789885e-16
0.08421,0.3789,-8.088e-09,-1.286e-08,-56753688.98978432,2.1167607431222086e-16
0.08421,0.4211,-8.087e-09,-1.36e-08,-56116722.78338945,2.057873414178207e-16
0.08421,0.4632,-8.087e-09,-1.436e-08,-55710306.40668525,2.0069438323888e-16
0.08421,0.5053,-8.086e-09,-1.511e-08,-55432372.505543225,1.960788898892151e-16
0.08421,0.5474,-8.085e-09,-1.587e-08,-55248618.784530394,1.9178170642573385e-16
