Vd0,Vd1,Id0,Id1,Rout,Cout
0.0,0.0,0.0,0.0,-87032201.91470844,2.812267844433791e-16
0.0,0.04211,5.728e-14,-2.586e-10,-359324469.99640685,2.678577692236598e-16
0.0,0.08421,1.524e-13,-3.237e-10,-1222643354.9333658,2.5576199354867577e-16
0.0,0.1263,2.934e-13,-3.491e-10,-2006420545.7463887,2.4493945741842694e-16
0.0,0.1684,4.898e-13,-3.698e-10,-2001200720.4322596,2.3523100588982124e-16
0.0,0.2105,7.526e-13,-3.916e-10,-1858390633.711206,2.2679579390595087e-16
0.0,0.2526,1.095e-12,-4.15e-10,-1761183515.3222964,2.1931551158063175e-16
0.0,0.2947,1.531e-12,-4.393e-10,-1706193482.3408973,2.1279015891386413e-16
0.0,0.3368,2.08e-12,-4.642e-10,-1677008217.3402648,2.06901426019464e-16
0.0,0.3789,2.761e-12,-4.894e-10,-1663063362.7141194,2.016493128974314e-16
0.0,0.4211,3.599e-12,-5.148e-10,-1658099817.60902,1.9687466460467454e-16
0.0,0.4632,4.621e-12,-5.402e-10,-1658099817.60902,1.9273663608428529e-16
0.0,0.5053,5.858e-12,-5.656e-10,-1661129568.1063125,1.8891691745007976e-16
0.0,0.5474,7.349e-12,-5.909e-10,-1665556295.802798,1.8525635375896619e-16
0.0,0.5895,9.137e-12,-6.161e-10,-1669170422.300117,1.8207325489712822e-16
0.0,0.6316,1.127e-11,-6.414e-10,-1666388935.1774704,1.7904931097838227e-16
0.0,0.6737,1.381e-11,-6.668e-10,-1637733377.0062227,1.763436769458201e-16
0.0,0.7158,1.682e-11,-6.932e-10,-1532097441.397273,1.7379719785634967e-16
0.0,0.7579,2.038e-11,-7.23e-10,-1275672917.4639623,1.7140987370997133e-16
0.0,0.8,2.458e-11,-7.622e-10,-883392226.1484098,1.6918170450668476e-16
0.04211,0.0,0.0,0.0,-21190930.28183937,2.9443664472000646e-16
0.04211,0.04211,-1.062e-09,-1.062e-09,-87565674.25569177,2.802718547848277e-16
0.04211,0.08421,-1.062e-09,-1.329e-09,-298596595.99880564,2.670619945082004e-16
0.04211,0.1263,-1.062e-09,-1.433e-09,-491883915.3959667,2.549662188332162e-16
0.04211,0.1684,-1.062e-09,-1.517e-09,-491642084.56243855,2.441436827029675e-16
0.04211,0.2105,-1.061e-09,-1.606e-09,-457456541.6285453,2.345943861174537e-16
0.04211,0.2526,-1.061e-09,-1.7e-09,-434593654.932638,2.261591741335833e-16
0.04211,0.2947,-1.061e-09,-1.799e-09,-422297297.29729724,2.186788918082642e-16
0.04211,0.3368,-1.06e-09,-1.899e-09,-416493127.8633902,2.1215353914149654e-16
0.04211,0.3789,-1.06e-09,-2.001e-09,-414937759.33609957,2.0642396119018826e-16
