Vd0,Vd1,Id0,Id1,Rout,Cout
0.0,0.0,0.0,0.0,-49529470.03467062,2.812267844433791e-16
0.0,0.04211,5.728e-14,-4.552e-10,-202306291.7256727,2.678577692236599e-16
0.0,0.08421,1.524e-13,-5.735e-10,-636942675.1592357,2.557619935486758e-16
0.0,0.1263,2.934e-13,-6.249e-10,-946969696.9696971,2.449394574184269e-16
0.0,0.1684,4.898e-13,-6.693e-10,-927643784.7866418,2.352310058898213e-16
0.0,0.2105,7.526e-13,-7.164e-10,-862812769.6289904,2.2679579390595087e-16
0.0,0.2526,1.095e-12,-7.667e-10,-814995925.0203748,2.193155115806318e-16
0.0,0.2947,1.531e-12,-8.195e-10,-782472613.4585291,2.1279015891386403e-16
0.0,0.3368,2.08e-12,-8.741e-10,-759878419.4528875,2.0690142601946394e-16
0.0,0.3789,2.761e-12,-9.302e-10,-742390497.4016333,2.0164931289743139e-16
0.0,0.4211,3.599e-12,-9.875e-10,-728862973.760933,1.9687466460467452e-16
0.0,0.4632,4.621e-12,-1.046e-09,-717360114.7776183,1.9273663608428529e-16
0.0,0.5053,5.858e-12,-1.105e-09,-707714083.5102618,1.889169174500798e-16
0.0,0.5474,7.349e-12,-1.165e-09,-698812019.5667367,1.852563537589661e-16
0.0,0.5895,9.137e-12,-1.225e-09,-690607734.8066299,1.8207325489712822e-16
0.0,0.6316,1.127e-11,-1.287e-09,-682128240.1091408,1.7904931097838222e-16
0.0,0.6737,1.381e-11,-1.349e-09,-669792364.3670464,1.7634367694582001e-16
0.0,0.7158,1.682e-11,-1.413e-09,-645161290.3225807,1.7379719785634967e-16
0.0,0.7579,2.038e-11,-1.481e-09,-589622641.509434,1.7140987370997128e-16
0.0,0.8,2.458e-11,-1.559e-09,-486381322.95719844,1.6918170450668476e-16
0.04211,0.0,0.0,0.0,-12064181.445288938,2.944366447200064e-16
0.04211,0.04211,-1.869e-09,-1.869e-09,-49285362.24741253,2.8027185478482766e-16
0.04211,0.08421,-1.869e-09,-2.355e-09,-155327741.53463805,2.6706199450820043e-16
0.04211,0.1263,-1.869e-09,-2.565e-09,-231267345.05087882,2.5496621883321627e-16
0.04211,0.1684,-1.869e-09,-2.747e-09,-226860254.0834846,2.4414368270296744e-16
0.04211,0.2105,-1.868e-09,-2.939e-09,-211104074.30863422,2.345943861174537e-16
0.04211,0.2526,-1.868e-09,-3.145e-09,-199600798.40319365,2.2615917413358323e-16
0.04211,0.2947,-1.868e-09,-3.36e-09,-191938579.65451053,2.186788918082642e-16
0.04211,0.3368,-1.867e-09,-3.583e-09,-186636804.7779022,2.121535391414965e-16
0.04211,0.3789,-1.867e-09,-3.811e-09,-182781941.144215,2.064239611901882e-16
0.04211,0.4211,-1.866e-09,-4.043e-09,-179823772.70275134,2.0117184806815563e-16
0.04211,0.4632,-1.865e-09,-4.279e-09,-177462289.26353154,1.9639719977539878e-16
0.04211,0.5053,-1.864e-09,-4.517e-09,-175530981.218185,1.922591712550096e-16
0.04211,0.5474,-1.863e-09,-4.758e-09,-173943294.48599756,1.8843945262080407e-16
0.04211,0.5895,-1.862e-09,-5.001e-09,-172622130.1570861,1.8493804387278236e-16
0.04211,0.6316,-1.86e-09,-5.246e-09,-171526586.62092626,1.8175494501094448e-16
0.04211,0.6737,-1.858e-09,-5.492e-09,-170590242.23814398,1.787310010921985e-16
0.04211,0.7158,-1.855e-09,-5.74e-09,-169577751.39901647,1.7602536705963624e-16
0.04211,0.7579,-1.852e-09,-5.989e-09,-167785234.89932886,1.734788879701659e-16
0.04211,0.8,-1.848e-09,-6.243e-09,-163666121.11292967,1.7109156382378744e-16
0.08421,0.0,0.0,0.0,-2938583.602703497,3.079648148828175e-16
0.08421,0.04211,-9.667e-09,-7.673e-09,-12001920.307249162,2.936408700045469e-16
0.08421,0.08421,-9.667e-09,-9.667e-09,-37835792.65985623,2.7947608006936816e-16
0.08421,0.1263,-9.667e-09,-1.053e-08,-56369785.79481398,2.662662197927409e-16
0.08421,0.1684,-9.667e-09,-1.128e-08,-55279159.756771706,2.543295990608487e-16
0.08421,0.2105,-9.667e-09,-1.207e-08,-51466803.911477104,2.435070629305999e-16
0.08421,0.2526,-9.667e-09,-1.291e-08,-48685491.723466404,2.3395776634508616e-16
0.08421,0.2947,-9.667e-09,-1.379e-08,-46816479.400749065,2.255225543612157e-16
0.08421,0.3368,-9.666e-09,-1.47e-08,-45537340.61930783,2.182014269789885e-16
0.08421,0.3789,-9.666e-09,-1.564e-08,-44622936.18920125,2.1167607431222083e-16
0.08421,0.4211,-9.665e-09,-1.659e-08,-43917435.22178304,2.057873414178207e-16
0.08421,0.4632,-9.665e-09,-1.756e-08,-43365134.431916736,2.0069438323888002e-16
0.08421,0.5053,-9.664e-09,-1.853e-08,-42918454.93562232,1.9607888988921501e-16
0.08421,0.5474,-9.663e-09,-1.952e-08,-42553191.4893617,1.917817064257339e-16
0.08421,0.5895,-9.661e-09,-2.051e-08,-42283298.09725158,1.8796198779152844e-16
0.08421,0.6316,-9.66e-09,-2.151e-08,-42052144.659377635,1.8446057904350666e-16
0.08421,0.6737,-9.658e-09,-2.251e-08,-41893590.28068706,1.812774801816688e-16
0.08421,0.7158,-9.656e-09,-2.352e-08,-41788549.93731718,1.7841269120601463e-16
0.08421,0.7579,-9.654e-09,-2.453e-08,-41701417.84820684,1.7570705717345242e-16
0.08421,0.8,-9.651e-09,-2.554e-08,-41631973.35553704,1.731605780839822e-16
0.1263,0.0,0.0,0.0,-716332.3782234957,3.213338301025367e-16
0.1263,0.04211,-4.322e-08,-3.149e-08,-2923121.894182987,3.0716904016735807e-16
0.1263,0.08421,-4.322e-08,-3.967e-08,-9216589.861751152,2.926859403459955e-16
0.1263,0.1263,-4.322e-08,-4.322e-08,-13736263.736263735,2.7868030535390876e-16
0.1263,0.1684,-4.322e-08,-4.627e-08,-13478905.512872355,2.656296000203733e-16
0.1263,0.2105,-4.322e-08,-4.951e-08,-12550200.803212851,2.535338243453893e-16
0.1263,0.2526,-4.322e-08,-5.297e-08,-11870845.204178536,2.428704431582323e-16
0.1263,0.2947,-4.322e-08,-5.659e-08,-11418131.993605847,2.3332114657271856e-16
0.1263,0.3368,-4.322e-08,-6.033e-08,-11108642.523883581,2.2504508953194006e-16
0.1263,0.3789,-4.322e-08,-6.416e-08,-10883761.4279495,2.177239621497128e-16
0.1263,0.4211,-4.322e-08,-6.806e-08,-10713520.462824088,2.11198609482945e-16
0.1263,0.4632,-4.322e-08,-7.202e-08,-10579771.4769361,2.0530987658854493e-16
0.1263,0.5053,-4.322e-08,-7.602e-08,-10473397.570171762,2.0021691840960434e-16
0.1263,0.5474,-4.322e-08,-8.006e-08,-10387451.958034694,1.9560142505993936e-16
0.1263,0.5895,-4.321e-08,-8.413e-08,-10319917.440660477,1.9130424159645814e-16
0.1263,0.6316,-4.321e-08,-8.822e-08,-10269049.086054632,1.8764367790534457e-16
0.1263,0.6737,-4.321e-08,-9.232e-08,-10232272.587741738,1.8414226915732289e-16
0.1263,0.7158,-4.321e-08,-9.644e-08,-10209290.454313427,1.8095917029548497e-16
0.1263,0.7579,-4.321e-08,-1.006e-07,-10200958.890135672,1.7793522637673902e-16
0.1263,0.8,-4.321e-08,-1.047e-07,-10204081.632653061,1.7522959234417674e-16
0.1684,0.0,0.0,0.0,-175346.3089601964,3.3470284532225587e-16
0.1684,0.04211,-1.895e-07,-1.289e-07,-712758.3749109054,3.203789004439852e-16
0.1684,0.08421,-1.895e-07,-1.625e-07,-2247696.111485727,3.062141105088066e-16
0.1684,0.1263,-1.895e-07,-1.77e-07,-3355704.697986577,2.920493205736279e-16
0.1684,0.1684,-1.895e-07,-1.895e-07,-3295978.9057350033,2.780436855815412e-16
0.1684,0.2105,-1.895e-07,-2.028e-07,-3070310.101320233,2.648338253049138e-16
0.1684,0.2526,-1.895e-07,-2.169e-07,-2904443.799012489,2.5289720457302173e-16
0.1684,0.2947,-1.895e-07,-2.317e-07,-2794857.462269425,2.4223382338586466e-16
0.1684,0.3368,-1.895e-07,-2.47e-07,-2719608.3763937987,2.328436817434429e-16
0.1684,0.3789,-1.895e-07,-2.626e-07,-2664535.038635758,2.244084697595724e-16
0.1684,0.4211,-1.895e-07,-2.785e-07,-2623294.858342077,2.1708734237734527e-16
0.1684,0.4632,-1.895e-07,-2.947e-07,-2590673.575129533,2.1072114465366945e-16
0.1684,0.5053,-1.895e-07,-3.11e-07,-2565418.163160595,2.048324117592693e-16
0.1684,0.5474,-1.895e-07,-3.275e-07,-2544529.2620865144,1.9973945358032863e-16
0.1684,0.5895,-1.895e-07,-3.441e-07,-2528445.0063211126,1.951239602306636e-16
0.1684,0.6316,-1.895e-07,-3.608e-07,-2515723.2704402516,1.909859317102744e-16
0.1684,0.6737,-1.895e-07,-3.776e-07,-2506893.95838556,1.8716621307606894e-16
0.1684,0.7158,-1.895e-07,-3.944e-07,-2501876.407305479,1.836648043280472e-16
0.1684,0.7579,-1.895e-07,-4.112e-07,-2500000.0,1.804817054662093e-16
0.1684,0.8,-1.895e-07,-4.281e-07,-2501876.4073054786,1.7761691649055525e-16
0.2105,0.0,0.0,0.0,-43572.98474945534,3.51414114346905e-16
0.2105,0.04211,-8.231e-07,-5.226e-07,-174520.0698080279,3.3374791566370455e-16
0.2105,0.08421,-8.231e-07,-6.599e-07,-550357.732526142,3.195831257285258e-16
0.2105,0.1263,-8.231e-07,-7.191e-07,-827129.8593879238,3.05577490736439e-16
0.2105,0.1684,-8.231e-07,-7.696e-07,-816326.530612245,2.9141270080126036e-16
0.2105,0.2105,-8.231e-07,-8.231e-07,-761614.6230007616,2.7740706580917357e-16
0.2105,0.2526,-8.231e-07,-8.8e-07,-720980.5335255949,2.6435636047563815e-16
0.2105,0.2947,-8.231e-07,-9.396e-07,-694444.4444444444,2.5241973974374604e-16
0.2105,0.3368,-8.231e-07,-1.001e-06,-676132.521974307,2.417563585565891e-16
0.2105,0.3789,-8.231e-07,-1.064e-06,-662690.5235255136,2.323662169141672e-16
0.2105,0.4211,-8.231e-07,-1.128e-06,-652741.5143603133,2.239310049302968e-16
0.2105,0.4632,-8.231e-07,-1.193e-06,-645161.2903225806,2.1660987754806957e-16
0.2105,0.5053,-8.231e-07,-1.259e-06,-638977.6357827476,2.1024367982439371e-16
0.2105,0.5474,-8.231e-07,-1.325e-06,-633713.5614702154,2.0451410187308553e-16
0.2105,0.5895,-8.231e-07,-1.391e-06,-630119.722747322,1.9926198875105298e-16
