"TE_stack2 (fins=4,vds=0.1) X","TE_stack2 (fins=4,vds=0.1) Y","TE_stack2 (fins=4,vds=0.2) X","TE_stack2 (fins=4,vds=0.2) Y","TE_stack2 (fins=4,vds=0.3) X","TE_stack2 (fins=4,vds=0.3) Y","TE_stack2 (fins=4,vds=0.4) X","TE_stack2 (fins=4,vds=0.4) Y","TE_stack2 (fins=4,vds=0.5) X","TE_stack2 (fins=4,vds=0.5) Y","TE_stack2 (fins=4,vds=0.6) X","TE_stack2 (fins=4,vds=0.6) Y","TE_stack2 (fins=4,vds=0.7) X","TE_stack2 (fins=4,vds=0.7) Y","TE_stack2 (fins=10,vds=0.1) X","TE_stack2 (fins=10,vds=0.1) Y","TE_stack2 (fins=10,vds=0.2) X","TE_stack2 (fins=10,vds=0.2) Y","TE_stack2 (fins=10,vds=0.3) X","TE_stack2 (fins=10,vds=0.3) Y","TE_stack2 (fins=10,vds=0.4) X","TE_stack2 (fins=10,vds=0.4) Y","TE_stack2 (fins=10,vds=0.5) X","TE_stack2 (fins=10,vds=0.5) Y","TE_stack2 (fins=10,vds=0.6) X","TE_stack2 (fins=10,vds=0.6) Y","TE_stack2 (fins=10,vds=0.7) X","TE_stack2 (fins=10,vds=0.7) Y","TE_stack2 (fins=20,vds=0.1) X","TE_stack2 (fins=20,vds=0.1) Y","TE_stack2 (fins=20,vds=0.2) X","TE_stack2 (fins=20,vds=0.2) Y","TE_stack2 (fins=20,vds=0.3) X","TE_stack2 (fins=20,vds=0.3) Y","TE_stack2 (fins=20,vds=0.4) X","TE_stack2 (fins=20,vds=0.4) Y","TE_stack2 (fins=20,vds=0.5) X","TE_stack2 (fins=20,vds=0.5) Y","TE_stack2 (fins=20,vds=0.6) X","TE_stack2 (fins=20,vds=0.6) Y","TE_stack2 (fins=20,vds=0.7) X","TE_stack2 (fins=20,vds=0.7) Y","TE_stack2 (fins=30,vds=0.1) X","TE_stack2 (fins=30,vds=0.1) Y","TE_stack2 (fins=30,vds=0.2) X","TE_stack2 (fins=30,vds=0.2) Y","TE_stack2 (fins=30,vds=0.3) X","TE_stack2 (fins=30,vds=0.3) Y","TE_stack2 (fins=30,vds=0.4) X","TE_stack2 (fins=30,vds=0.4) Y","TE_stack2 (fins=30,vds=0.5) X","TE_stack2 (fins=30,vds=0.5) Y","TE_stack2 (fins=30,vds=0.6) X","TE_stack2 (fins=30,vds=0.6) Y","TE_stack2 (fins=30,vds=0.7) X","TE_stack2 (fins=30,vds=0.7) Y","TE_stack2 (fins=40,vds=0.1) X","TE_stack2 (fins=40,vds=0.1) Y","TE_stack2 (fins=40,vds=0.2) X","TE_stack2 (fins=40,vds=0.2) Y","TE_stack2 (fins=40,vds=0.3) X","TE_stack2 (fins=40,vds=0.3) Y","TE_stack2 (fins=40,vds=0.4) X","TE_stack2 (fins=40,vds=0.4) Y","TE_stack2 (fins=40,vds=0.5) X","TE_stack2 (fins=40,vds=0.5) Y","TE_stack2 (fins=40,vds=0.6) X","TE_stack2 (fins=40,vds=0.6) Y","TE_stack2 (fins=40,vds=0.7) X","TE_stack2 (fins=40,vds=0.7) Y"
0,37.97027257478555,0,37.77808904118963,0,37.5475327681775,0,37.26381720350047,0,36.89446661165653,0,36.39858919180195,0,35.57263138924986,0,38.07262892043242,0,37.95224115033685,0,37.78702736243724,0,37.56056233294669,0,37.24364569234466,0,36.79645727045654,0,36.01555547932595,0,38.10683892175186,0,38.01051758136293,0,37.86684585569925,0,37.65931191915103,0,37.3596970283166,0,36.92854720068477,0,36.16244133247562,0,38.11825240685884,0,38.02996397071707,0,37.89345122836613,0,37.69221171111528,0,37.39834598812571,0,36.97252334873713,0,36.21132742950858,0,38.12396109349717,0,38.0396909793558,0,37.90675379424892,0,37.70865859095307,0,37.41766417431025,0,36.99450162079508,0,36.23575674879805
0.008,29.12361866284643,0.008,29.01042245896974,0.008,28.8742715198015,0.008,28.70619729471688,0.008,28.48650990351397,0.008,28.18998401261333,0.008,27.69201005915586,0.008,29.18379771369318,0.008,29.11300949469819,0.008,29.01569306126763,0.008,28.8819761954451,0.008,28.69422522944914,0.008,28.42804617852983,0.008,27.9596863887712,0.008,29.20389418805506,0.008,29.147289194385,0.008,29.06273346851809,0.008,28.94032892647225,0.008,28.76306259505463,0.008,28.50682279243024,0.008,28.04813037818243,0.008,29.21059710088584,0.008,29.15872260876833,0.008,29.0784028935899,0.008,28.95975421525058,0.008,28.7859658919034,0.008,28.53302105222883,0.008,28.07753028811079,0.008,29.2139493471209,0.008,29.16444053504463,0.008,29.0862356159011,0.008,28.96946213365942,0.008,28.79740972489973,0.008,28.5461090119232,0.008,28.09221530591738
0.016,29.15649879043014,0.016,29.07036404165212,0.016,28.9687571540564,0.016,28.84233449268028,0.016,28.67685840920016,0.016,28.45320670955484,0.016,28.09018401863783,0.016,29.20267497474468,0.016,29.14965258572772,0.016,29.07759710883334,0.016,28.97791213697592,0.016,28.83754371236772,0.016,28.6381231549662,0.016,28.29939123286581,0.016,29.21808446656144,0.016,29.17605399910823,0.016,29.11374447142151,0.016,29.02283410160581,0.016,28.89067656034148,0.016,28.69915782670006,0.016,28.36832113097917,0.016,29.22322295737886,0.016,29.18485142605849,0.016,29.12577919298306,0.016,29.03777890108173,0.016,28.90834162252533,0.016,28.71943861211506,0.016,28.39121287664168,0.016,29.22579249764863,0.016,29.18924958416352,0.016,29.13179390076046,0.016,29.04524588986001,0.016,28.9171656537044,0.016,28.72956718979004,0.016,28.40264317614827
0.024,29.18083444719936,0.024,29.11595574480858,0.024,29.03959099891081,0.024,28.94465706370162,0.024,28.82032253853595,0.024,28.65214524689667,0.024,28.3871651293161,0.024,29.21624923139448,0.024,29.17682439569798,0.024,29.12324641063107,0.024,29.04902671073262,0.024,28.94428442999997,0.024,28.79522205800176,0.024,28.54971001151461,0.024,29.22806119978245,0.024,29.19707463039379,0.024,29.15099676793438,0.024,29.08355784795772,0.024,28.98520369365703,0.024,28.84235403028755,0.024,28.60314824793262,0.024,29.23199928662136,0.024,29.20382043123568,0.024,29.16023222112541,0.024,29.09504024363937,0.024,28.9988003741263,0.024,28.85800499606299,0.024,28.62088238641345,0.024,29.23396850140481,0.024,29.20719251570963,0.024,29.16484720526299,0.024,29.10077624359776,0.024,29.00559075343617,0.024,28.86581948517919,0.024,28.62973492605139
0.032,29.19882284794324,0.032,29.14997277740909,0.032,29.09261893429485,0.032,29.02141675436387,0.032,28.92816633578191,0.032,28.80199031383303,0.032,28.60820760889192,0.032,29.22597465368825,0.032,29.19667160877726,0.032,29.15685461780058,0.032,29.10164702168966,0.032,29.0236011399619,0.032,28.91237201504695,0.032,28.7339531253484,0.032,29.23502691691681,0.032,29.21219735907261,0.032,29.17814374865105,0.032,29.12816176233974,0.032,29.05506211215293,0.032,28.94867860403579,0.032,28.77522340484236,0.032,29.23804451001856,0.032,29.21736814422321,0.032,29.18522672964873,0.032,29.13697525253465,0.032,29.06551141578963,0.032,28.96072880664115,0.032,28.7889118221144,0.032,29.23955337241929,0.032,29.21995270691193,0.032,29.18876572160829,0.032,29.1413774060923,0.032,29.07072906022533,0.032,28.96674429286605,0.032,28.79574343633409
0.04,29.21208469072082,0.04,29.17531261386517,0.04,29.13225524862808,0.04,29.07889779487781,0.04,29.0090545627296,0.04,28.91455059448503,0.04,28.77252361441456,0.04,29.23289598265203,0.04,29.21112355209311,0.04,29.18154343647518,0.04,29.14050578523061,0.04,29.08241442938776,0.04,28.99952333323936,0.04,28.8694945522741,0.04,29.23983215628215,0.04,29.22302331447031,0.04,29.19786725357944,0.04,29.16084868749883,0.04,29.10657366546327,0.04,29.0274399935238,0.04,28.90127964049889,0.04,29.24214413000764,0.04,29.2269858071684,0.04,29.20329700070197,0.04,29.16760872497035,0.04,29.11459510194786,0.04,29.03670199688345,0.04,28.91181753976859,0.04,29.24330008181286,0.04,29.22896629027666,0.04,29.20600972818844,0.04,29.17098485533477,0.04,29.11859996487389,0.04,29.04132495910491,0.04,28.91707595135892
0.048,29.22181134270919,0.048,29.19413635471134,0.048,29.16181821957362,0.048,29.12185581842748,0.048,29.06959527833186,0.048,28.99890237470592,0.048,28.89457114045079,0.048,29.23775953726395,0.048,29.22158807085354,0.048,29.1996162717361,0.048,29.16912587434281,0.048,29.12592149336031,0.048,29.06420875032327,0.048,28.96917985790214,0.048,29.24307363233485,0.048,29.23070652254322,0.048,29.21212799513313,0.048,29.18472412808186,0.048,29.14445672446897,0.048,29.08564523070151,0.048,28.99361085860065,0.048,29.24484477376798,0.048,29.23374248240139,0.048,29.21628900073161,0.048,29.18990637584066,0.048,29.15060930606863,0.048,29.09275523099701,0.048,29.00170798962403,0.048,29.24573029889798,0.048,29.23525980319298,0.048,29.21836773103714,0.048,29.19249429979737,0.048,29.15368079973164,0.048,29.09630365850369,0.048,29.00574796146504
0.056,29.22887384554947,0.056,29.20804940778566,0.056,29.18379144534844,0.056,29.15387104621079,0.056,29.11479358927209,0.056,29.06196155989548,0.056,28.98515253790075,0.056,29.24109335888622,0.056,29.22908716515655,0.056,29.21276548215923,0.056,29.19011764649887,0.056,29.15800365576177,0.056,29.11209197373505,0.056,29.04245894655455,0.056,29.24516425782317,0.056,29.23607303208695,0.056,29.22235242866295,0.056,29.202072349457,0.056,29.17221436337095,0.056,29.12853590607721,0.056,29.06121013712111,0.056,29.24652096756463,0.056,29.23839872031929,0.056,29.22554031916852,0.056,29.20604342811264,0.056,29.17693053139132,0.056,29.13398877052617,0.056,29.06742327838746,0.056,29.24719928009352,0.056,29.23956101443517,0.056,29.22713281029667,0.056,29.20802640577775,0.056,29.1792847650609,0.056,29.13670993837672,0.056,29.07052297728654
0.064,29.23390338170353,0.064,29.2182380213643,0.064,29.20002503227226,0.064,29.17762535069241,0.064,29.14841857432816,0.064,29.10896157495224,0.064,29.05229980971482,0.064,29.24326458539065,0.064,29.23435640077665,0.064,29.22222712682456,0.064,29.20540554122502,0.064,29.18154436797158,0.064,29.14740686548216,0.064,29.09626135760299,0.064,29.2463828017581,0.064,29.23970749305911,0.064,29.22957108054535,0.064,29.21456438262562,0.064,29.19243371005673,0.064,29.16001135230087,0.064,29.11063784341105,0.064,29.24742196844475,0.064,29.24148879622527,0.064,29.23201286811159,0.064,29.21760635345399,0.064,29.19604706566716,0.064,29.16419033053846,0.064,29.11540056100283,0.064,29.2479415008844,0.064,29.24237900891081,0.064,29.23323260451216,0.064,29.21912529312986,0.064,29.19785070333371,0.064,29.16627566118727,0.064,29.11777648403172
0.07200000000000001,29.23734980195272,0.07200000000000001,29.22557101080595,0.07200000000000001,29.21188825897453,0.07200000000000001,29.19511629092396,0.07200000000000001,29.17329219720073,0.07200000000000001,29.14383842149979,0.07200000000000001,29.10196383825374,0.07200000000000001,29.24452018497348,0.07200000000000001,29.23791727549959,0.07200000000000001,29.22889556559983,0.07200000000000001,29.2163985991255,0.07200000000000001,29.19867312669998,0.07200000000000001,29.17330068100075,0.07200000000000001,29.13565606754873,0.07200000000000001,29.24690838315037,0.07200000000000001,29.24201535012819,0.07200000000000001,29.23451986778718,0.07200000000000001,29.22341311333445,0.07200000000000001,29.20701369807772,0.07200000000000001,29.18295633022637,0.07200000000000001,29.14666959487715,0.07200000000000001,29.24770423493366,0.07200000000000001,29.24337947049815,0.07200000000000001,29.23638974351903,0.07200000000000001,29.22574266021107,0.07200000000000001,29.20978100607207,0.07200000000000001,29.186157236448,0.07200000000000001,29.15031770969625,0.07200000000000001,29.24810211909676,0.07200000000000001,29.24406116918829,0.07200000000000001,29.23732377307561,0.07200000000000001,29.22690583083286,0.07200000000000001,29.211162265899,0.07200000000000001,29.18775442036485,0.07200000000000001,29.15213751318718
