"TE_stack3 (fins=4,vds=0.1) X","TE_stack3 (fins=4,vds=0.1) Y","TE_stack3 (fins=4,vds=0.2) X","TE_stack3 (fins=4,vds=0.2) Y","TE_stack3 (fins=4,vds=0.3) X","TE_stack3 (fins=4,vds=0.3) Y","TE_stack3 (fins=4,vds=0.4) X","TE_stack3 (fins=4,vds=0.4) Y","TE_stack3 (fins=4,vds=0.5) X","TE_stack3 (fins=4,vds=0.5) Y","TE_stack3 (fins=4,vds=0.6) X","TE_stack3 (fins=4,vds=0.6) Y","TE_stack3 (fins=4,vds=0.7) X","TE_stack3 (fins=4,vds=0.7) Y","TE_stack3 (fins=10,vds=0.1) X","TE_stack3 (fins=10,vds=0.1) Y","TE_stack3 (fins=10,vds=0.2) X","TE_stack3 (fins=10,vds=0.2) Y","TE_stack3 (fins=10,vds=0.3) X","TE_stack3 (fins=10,vds=0.3) Y","TE_stack3 (fins=10,vds=0.4) X","TE_stack3 (fins=10,vds=0.4) Y","TE_stack3 (fins=10,vds=0.5) X","TE_stack3 (fins=10,vds=0.5) Y","TE_stack3 (fins=10,vds=0.6) X","TE_stack3 (fins=10,vds=0.6) Y","TE_stack3 (fins=10,vds=0.7) X","TE_stack3 (fins=10,vds=0.7) Y","TE_stack3 (fins=20,vds=0.1) X","TE_stack3 (fins=20,vds=0.1) Y","TE_stack3 (fins=20,vds=0.2) X","TE_stack3 (fins=20,vds=0.2) Y","TE_stack3 (fins=20,vds=0.3) X","TE_stack3 (fins=20,vds=0.3) Y","TE_stack3 (fins=20,vds=0.4) X","TE_stack3 (fins=20,vds=0.4) Y","TE_stack3 (fins=20,vds=0.5) X","TE_stack3 (fins=20,vds=0.5) Y","TE_stack3 (fins=20,vds=0.6) X","TE_stack3 (fins=20,vds=0.6) Y","TE_stack3 (fins=20,vds=0.7) X","TE_stack3 (fins=20,vds=0.7) Y","TE_stack3 (fins=30,vds=0.1) X","TE_stack3 (fins=30,vds=0.1) Y","TE_stack3 (fins=30,vds=0.2) X","TE_stack3 (fins=30,vds=0.2) Y","TE_stack3 (fins=30,vds=0.3) X","TE_stack3 (fins=30,vds=0.3) Y","TE_stack3 (fins=30,vds=0.4) X","TE_stack3 (fins=30,vds=0.4) Y","TE_stack3 (fins=30,vds=0.5) X","TE_stack3 (fins=30,vds=0.5) Y","TE_stack3 (fins=30,vds=0.6) X","TE_stack3 (fins=30,vds=0.6) Y","TE_stack3 (fins=30,vds=0.7) X","TE_stack3 (fins=30,vds=0.7) Y","TE_stack3 (fins=40,vds=0.1) X","TE_stack3 (fins=40,vds=0.1) Y","TE_stack3 (fins=40,vds=0.2) X","TE_stack3 (fins=40,vds=0.2) Y","TE_stack3 (fins=40,vds=0.3) X","TE_stack3 (fins=40,vds=0.3) Y","TE_stack3 (fins=40,vds=0.4) X","TE_stack3 (fins=40,vds=0.4) Y","TE_stack3 (fins=40,vds=0.5) X","TE_stack3 (fins=40,vds=0.5) Y","TE_stack3 (fins=40,vds=0.6) X","TE_stack3 (fins=40,vds=0.6) Y","TE_stack3 (fins=40,vds=0.7) X","TE_stack3 (fins=40,vds=0.7) Y"
0,37.78312071287061,0,37.47811054611901,0,37.10747588287034,0,36.64096804423134,0,36.03216690007069,0,35.21949066883253,0,33.89056929184316,0,37.97255242522794,0,37.78134005821759,0,37.51411873393044,0,37.13977622725162,0,36.61231709236193,0,35.86872844053408,0,34.58861374570287,0,38.03618366980388,0,37.88343648087586,0,37.6512705859265,0,37.30828404856059,0,36.80860820097145,0,36.08870730989246,0,34.82536709706965,0,38.05744864257937,0,37.91758346820994,0,37.69716952375632,0,37.36470818241019,0,36.87437171994156,0,36.16244468313486,0,34.9047572995182,0,38.06809143248015,0,37.93467854871365,0,37.72015329741185,0,37.39296852105954,0,36.90731661335503,0,36.19939151736115,0,34.94454231420531
0.008,29.01338952359454,0.008,28.833199761608,0.008,28.61332865802106,0.008,28.33514956601606,0.008,27.96969667124847,0.008,27.47753294699789,0.008,26.66187918113194,0.008,29.12495989366814,0.008,29.01233953221032,0.008,28.8545074007915,0.008,28.63253013190091,0.008,28.31801262975355,0.008,27.87111639739318,0.008,27.09201249847486,0.008,29.16237887630386,0.008,29.07250523699178,0.008,28.9355798223198,0.008,28.73257845961087,0.008,28.43529819752697,0.008,28.00375326780918,0.008,27.23704607222842,0.008,29.17487744304233,0.008,29.09261132301964,0.008,28.96268081530142,0.008,28.76603281024628,0.008,28.47452883379975,0.008,28.04813239386715,0.008,27.28558384455846,0.008,29.18113155834859,0.008,29.10267391095327,0.008,28.97624582222832,0.008,28.78277986849099,0.008,28.49416983227822,0.008,28.07035372204125,0.008,27.3098895784437
0.016,29.07471871381598,0.016,28.93857541815245,0.016,28.77257946144869,0.016,28.56224278255635,0.016,28.28498186944927,0.016,27.91008952925457,0.016,27.30707347922829,0.016,29.16049737240418,0.016,29.0765968284135,0.016,28.95893663799719,0.016,28.79293772195894,0.016,28.55665723512003,0.016,28.21938977132067,0.016,27.64943108917366,0.016,29.18922435990459,0.016,29.12285531223191,0.016,29.02140991750446,0.016,28.87029407152145,0.016,28.64778455505866,0.016,28.3231724028298,0.016,27.76432500725848,0.016,29.19881500001,0.016,29.13830301410887,0.016,29.04227441726542,0.016,28.89613187290269,0.016,28.67822616470126,0.016,28.35784664221095,0.016,27.80271509417972,0.016,29.20361313643796,0.016,29.14603216114925,0.016,29.05271423483627,0.016,28.90906069298743,0.016,28.69345949355124,0.016,28.37519897640969,0.016,27.82192781644237
0.024,29.12011378019227,0.024,29.01737134173498,0.024,28.89227405427906,0.024,28.73369833982038,0.024,28.52422377288929,0.024,28.24018498153962,0.024,27.79519155963532,0.024,29.18599770038846,0.024,29.12355057357023,0.024,29.03594755310334,0.024,28.91207439697519,0.024,28.73513291275611,0.024,28.4816544763335,0.024,28.06490840219523,0.024,29.20803736028527,0.024,29.15907963390087,0.024,29.08401071709611,0.024,28.97173426496888,0.024,28.80566637631338,0.024,28.56240332159399,0.024,28.15508835367555,0.024,29.21539267387186,0.024,29.17093791531117,0.024,29.10005129359377,0.024,28.99164424154355,0.024,28.82920493849929,0.024,28.58935127365937,0.024,28.18518317429703,0.024,29.21907196370292,0.024,29.1768699258511,0.024,29.10807527980483,0.024,29.00160364712309,0.024,28.84097945124756,0.024,28.6028313937545,0.024,28.20023740311044
0.032,29.15368596644604,0.032,29.07621325375542,0.032,28.98206560158676,0.032,28.86276907329905,0.032,28.70500226022951,0.032,28.49067047099248,0.032,28.16247348253968,0.032,29.20425255561477,0.032,29.15780362840698,0.032,29.09264340534821,0.032,29.00035155279749,0.032,28.86816190843183,0.032,28.67824984762561,0.032,28.37335509254065,0.032,29.22115373118207,0.032,29.18507108289913,0.032,29.1295752530483,0.032,29.04627679734092,0.032,28.92260075042859,0.032,28.74081283967696,0.032,28.44365884762803,0.032,29.22679255074718,0.032,29.19416816473196,0.032,29.14189423283673,0.032,29.06159304501952,0.032,28.94075414277178,0.032,28.76167340105086,0.032,28.4670977890371,0.032,29.22961290726459,0.032,29.1987182092786,0.032,29.14805529749826,0.032,29.06925268889461,0.032,28.94983225217498,0.032,28.77210495902835,0.032,28.47881829178504
0.04,29.17848394669119,0.04,29.12010012106364,0.04,29.04931228095151,0.04,28.95970592981357,0.04,28.84115968285894,0.04,28.67992170335194,0.04,28.4377986575234,0.04,29.21727361547889,0.04,29.18274312219183,0.04,29.13431043702419,0.04,29.06562884046897,0.04,28.96704834062992,0.04,28.82509477692576,0.04,28.60175615721846,0.04,29.23023000441942,0.04,29.20365845021277,0.04,29.16266369775906,0.04,29.1009323780427,0.04,29.00897677654645,0.04,28.87341580284179,0.04,28.65629314382725,0.04,29.23455173384442,0.04,29.21063409909537,0.04,29.17211725805107,0.04,29.11270029553364,0.04,29.02295008532513,0.04,28.88951668450719,0.04,28.67446182631164,0.04,29.23671316246007,0.04,29.21412264472951,0.04,29.17684453180571,0.04,29.11858428706636,0.04,29.0299362534175,0.04,28.89756609351867,0.04,28.68354441822398
0.048,29.19675720965892,0.048,29.1527784206688,0.048,29.09958836008116,0.048,29.03235874880975,0.048,28.94343640347699,0.048,28.82241796680371,0.048,28.64365487087131,0.048,29.22650112223436,0.048,29.20084404207254,0.048,29.16486257078478,0.048,29.11379550103068,0.048,29.04037705514602,0.048,28.9344578222902,0.048,28.7706022591068,0.048,29.23643104918344,0.048,29.2168805503384,0.048,29.18661566038619,0.048,29.14090629247096,0.048,29.07261984395852,0.048,28.97169207664303,0.048,28.8127550702561,0.048,29.23974273531434,0.048,29.2222277063422,0.048,29.1938662910373,0.048,29.14993973876079,0.048,29.08336035539682,0.048,28.98409230722543,0.048,28.82678993441361,0.048,29.24139887438113,0.048,29.22490160202607,0.048,29.19749153585743,0.048,29.15445584171394,0.048,29.08872933976901,0.048,28.9902904169832,0.048,28.83380444331277
0.056,29.2101588992167,0.056,29.17704388658256,0.056,29.13709246205981,0.056,29.08669150248522,0.056,29.02007455635328,0.056,28.9293988402587,0.056,28.79727707428966,0.056,29.23295984532873,0.056,29.21390711186896,0.056,29.1871844324566,0.056,29.14923839664919,0.056,29.09461416779908,0.056,29.01568694174649,0.056,28.89526845396116,0.056,29.24056895416452,0.056,29.22619918748234,0.056,29.20386570867973,0.056,29.17004200484626,0.056,29.11938024880373,0.056,29.04432867682165,0.056,28.92776291477269,0.056,29.24310629822988,0.056,29.23029706346291,0.056,29.20942448225929,0.056,29.17697181673714,0.056,29.12762727220505,0.056,29.05386351274907,0.056,28.93857716764239,0.056,29.24437516532015,0.056,29.23234609405011,0.056,29.21220357185246,0.056,29.18043584721633,0.056,29.13174925728183,0.056,29.05862865964609,0.056,28.9439811706029
0.064,29.21989728671179,0.064,29.19497325276641,0.064,29.16497110490636,0.064,29.12720631056833,0.064,29.07734532519826,0.064,29.00949120766713,0.064,28.91172992594636,0.064,29.23737208032464,0.064,29.22323491530873,0.064,29.20339167264288,0.064,29.17520807456027,0.064,29.13459738222084,0.064,29.07584272911418,0.064,28.98719943543338,0.064,29.24320201119727,0.064,29.23265475639138,0.064,29.21617907765873,0.064,29.19116292117596,0.064,29.15360429325755,0.064,29.09784663976169,0.064,29.01219988624937,0.064,29.24514588502766,0.064,29.2357946359448,0.064,29.22043947248044,0.064,29.19647635743751,0.064,29.15993184715601,0.064,29.10516949861767,0.064,29.02051729207641,0.064,29.24611792657479,0.064,29.23736456843207,0.064,29.22256928658901,0.064,29.19913219122188,0.064,29.16309413868466,0.064,29.1088287811926,0.064,29.02467304913518
0.07200000000000001,29.22684779042116,0.07200000000000001,29.20810028170597,0.07200000000000001,29.18556973435325,0.07200000000000001,29.15728205514678,0.07200000000000001,29.11998670349518,0.07200000000000001,29.06925835256388,0.07200000000000001,28.99684004155403,0.07200000000000001,29.24023822896208,0.07200000000000001,29.22976138637216,0.07200000000000001,29.2150262786572,0.07200000000000001,29.19409961274889,0.07200000000000001,29.16392425340695,0.07200000000000001,29.12021990001103,0.07200000000000001,29.05486702128744,0.07200000000000001,29.24470453739987,0.07200000000000001,29.23697883342084,0.07200000000000001,29.22482600716561,0.07200000000000001,29.20633064863111,0.07200000000000001,29.1785019809805,0.07200000000000001,29.13710824480371,0.07200000000000001,29.07407437672959,0.07200000000000001,29.24619361471292,0.07200000000000001,29.23938434086975,0.07200000000000001,29.22809053105435,0.07200000000000001,29.21040323905761,0.07200000000000001,29.18335401936685,0.07200000000000001,29.14272735058797,0.07200000000000001,29.08046280932566,0.07200000000000001,29.2469382163608,0.07200000000000001,29.24058703989336,0.07200000000000001,29.22972241565523,0.07200000000000001,29.21243871395883,0.07200000000000001,29.18577871551044,0.07200000000000001,29.14553499634219,0.07200000000000001,29.08365446932529
