vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
680e-3,0,0,2,14e-9,0,47.5469e-18,359.365e-3,392.099e-6,-5.2919e-12,-15.9281e-18,139.53e-18,58.965e-18,58.965e-18
700e-3,0,0,2,14e-9,0,48.2216e-18,359.365e-3,412.069e-6,-6.1893e-12,-16.2972e-18,141.618e-18,60.0088e-18,60.0088e-18
720e-3,0,0,2,14e-9,0,48.8571e-18,359.365e-3,431.446e-6,-7.2155e-12,-16.6398e-18,143.574e-18,60.9869e-18,60.9869e-18
740e-3,0,0,2,14e-9,0,49.4553e-18,359.365e-3,450.232e-6,-8.3871e-12,-16.9576e-18,145.406e-18,61.9028e-18,61.9028e-18
760e-3,0,0,2,14e-9,0,50.0182e-18,359.365e-3,468.433e-6,-9.7223e-12,-17.2518e-18,147.12e-18,62.7599e-18,62.7599e-18
780e-3,0,0,2,14e-9,0,50.5477e-18,359.365e-3,486.058e-6,-11.2421e-12,-17.5239e-18,148.723e-18,63.5616e-18,63.5616e-18
800e-3,0,0,2,14e-9,0,51.0458e-18,359.365e-3,503.119e-6,-12.9694e-12,-17.7753e-18,150.222e-18,64.3111e-18,64.3111e-18
0,0,0,6,14e-9,0,42.1888e-18,359.81e-3,2.9781e-9,770.653e-57,-600.287e-24,125.737e-18,30.4687e-18,30.4687e-18
20e-3,0,0,6,14e-9,0,43.1215e-18,359.81e-3,5.7997e-9,-2.4403e-15,-1.1747e-21,127.604e-18,31.402e-18,31.402e-18
40e-3,0,0,6,14e-9,0,44.0741e-18,359.81e-3,11.2941e-9,-3.9214e-15,-2.2989e-21,129.511e-18,32.3556e-18,32.3556e-18
60e-3,0,0,6,14e-9,0,45.0372e-18,359.81e-3,21.9926e-9,-4.5394e-15,-4.4994e-21,131.442e-18,33.321e-18,33.321e-18
80e-3,0,0,6,14e-9,0,46.0012e-18,359.81e-3,42.822e-9,-4.3892e-15,-8.8057e-21,133.379e-18,34.2893e-18,34.2893e-18
100e-3,0,0,6,14e-9,0,46.9576e-18,359.81e-3,83.3662e-9,-3.5750e-15,-17.2302e-21,135.308e-18,35.2541e-18,35.2541e-18
