vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
380e-3,0,500e-3,6,14e-9,248.912e-6,38.2167e-18,356.673e-3,11.8062e-6,14.3336e-6,-19.6782e-18,192.389e-18,25.8262e-18,101.763e-18
400e-3,0,500e-3,6,14e-9,309.219e-6,39.0446e-18,356.673e-3,15.0762e-6,19.9085e-6,-22.9124e-18,201.68e-18,26.6576e-18,110.222e-18
420e-3,0,500e-3,6,14e-9,372.594e-6,39.9393e-18,356.673e-3,18.643e-6,26.7229e-6,-26.215e-18,210.788e-18,27.5637e-18,118.424e-18
440e-3,0,500e-3,6,14e-9,437.387e-6,40.9048e-18,356.673e-3,22.4645e-6,34.8218e-6,-29.7004e-18,219.972e-18,28.5506e-18,126.622e-18
460e-3,0,500e-3,6,14e-9,501.822e-6,41.9452e-18,356.673e-3,26.5084e-6,44.216e-6,-33.4704e-18,229.47e-18,29.6254e-18,135.045e-18
480e-3,0,500e-3,6,14e-9,564.102e-6,43.0634e-18,356.673e-3,30.7531e-6,54.8802e-6,-37.5786e-18,239.436e-18,30.7946e-18,143.841e-18
500e-3,0,500e-3,6,14e-9,622.593e-6,44.259e-18,356.673e-3,35.1908e-6,66.7547e-6,-42.0032e-18,249.894e-18,32.061e-18,153.033e-18
520e-3,0,500e-3,6,14e-9,675.996e-6,45.5263e-18,356.673e-3,39.8321e-6,79.75e-6,-46.6491e-18,260.732e-18,33.4205e-18,162.512e-18
540e-3,0,500e-3,6,14e-9,723.444e-6,46.8548e-18,356.673e-3,44.7071e-6,93.7548e-6,-51.3849e-18,271.75e-18,34.8622e-18,172.087e-18
560e-3,0,500e-3,6,14e-9,764.5e-6,48.2305e-18,356.673e-3,49.859e-6,108.645e-6,-56.0872e-18,282.737e-18,36.3707e-18,181.566e-18
580e-3,0,500e-3,6,14e-9,799.094e-6,49.6377e-18,356.673e-3,55.3344e-6,124.292e-6,-60.6654e-18,293.524e-18,37.9283e-18,190.796e-18
600e-3,0,500e-3,6,14e-9,827.423e-6,51.0603e-18,356.673e-3,61.1735e-6,140.567e-6,-65.0644e-18,303.995e-18,39.5172e-18,199.678e-18
620e-3,0,500e-3,6,14e-9,849.854e-6,52.4827e-18,356.673e-3,67.4059e-6,157.349e-6,-69.2557e-18,314.08e-18,41.1207e-18,208.16e-18
640e-3,0,500e-3,6,14e-9,866.846e-6,53.8907e-18,356.673e-3,74.0494e-6,174.525e-6,-73.2279e-18,323.741e-18,42.724e-18,216.217e-18
660e-3,0,500e-3,6,14e-9,878.891e-6,55.2722e-18,356.673e-3,81.111e-6,191.99e-6,-76.9796e-18,332.959e-18,44.3146e-18,223.844e-18
680e-3,0,500e-3,6,14e-9,886.479e-6,56.6179e-18,356.673e-3,88.5886e-6,209.651e-6,-80.5145e-18,341.728e-18,45.8827e-18,231.046e-18
700e-3,0,500e-3,6,14e-9,890.074e-6,57.9215e-18,356.673e-3,96.4725e-6,227.423e-6,-83.8388e-18,350.053e-18,47.4217e-18,237.831e-18
