vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
200e-3,0,200e-3,20,14e-9,12.2054e-6,401.959e-18,-350.443e-3,590.232e-9,-374.421e-9,-2.2929e-18,477.249e-18,172.336e-18,213.713e-18
220e-3,0,200e-3,20,14e-9,23.0174e-6,405.153e-18,-350.443e-3,1.1232e-6,-715.771e-9,-4.3138e-18,490.03e-18,175.486e-18,223.344e-18
240e-3,0,200e-3,20,14e-9,42.4549e-6,408.553e-18,-350.443e-3,2.1058e-6,-1.3522e-6,-7.8594e-18,507.651e-18,178.818e-18,237.634e-18
260e-3,0,200e-3,20,14e-9,75.5983e-6,412.189e-18,-350.443e-3,3.8535e-6,-2.5051e-6,-13.616e-18,532.069e-18,182.36e-18,258.509e-18
280e-3,0,200e-3,20,14e-9,128.095e-6,416.109e-18,-350.443e-3,6.8115e-6,-4.5055e-6,-22.0073e-18,564.18e-18,186.185e-18,286.795e-18
300e-3,0,200e-3,20,14e-9,204.252e-6,420.373e-18,-350.443e-3,11.5266e-6,-7.7874e-6,-32.793e-18,602.714e-18,190.407e-18,321.107e-18
320e-3,0,200e-3,20,14e-9,305.332e-6,425.043e-18,-350.443e-3,18.5934e-6,-12.8425e-6,-45.0868e-18,644.658e-18,195.155e-18,358.303e-18
340e-3,0,200e-3,20,14e-9,429.353e-6,430.164e-18,-350.443e-3,28.6151e-6,-20.1542e-6,-57.8764e-18,687.023e-18,200.54e-18,395.284e-18
360e-3,0,200e-3,20,14e-9,572.072e-6,435.776e-18,-350.443e-3,42.2073e-6,-30.1415e-6,-70.5181e-18,728.137e-18,206.654e-18,430.283e-18
380e-3,0,200e-3,20,14e-9,728.031e-6,441.941e-18,-350.443e-3,60.0471e-6,-43.1254e-6,-82.8584e-18,767.745e-18,213.618e-18,462.927e-18
400e-3,0,200e-3,20,14e-9,891.158e-6,448.766e-18,-350.443e-3,82.9581e-6,-59.3106e-6,-95.0785e-18,806.503e-18,221.622e-18,493.681e-18
420e-3,0,200e-3,20,14e-9,1.0551e-3,456.398e-18,-350.443e-3,111.997e-6,-78.7773e-6,-107.442e-18,845.36e-18,230.926e-18,523.235e-18
440e-3,0,200e-3,20,14e-9,1.2137e-3,464.974e-18,-350.443e-3,148.473e-6,-101.479e-6,-120.045e-18,884.997e-18,241.78e-18,552.017e-18
460e-3,0,200e-3,20,14e-9,1.3614e-3,474.531e-18,-350.443e-3,193.841e-6,-127.253e-6,-132.674e-18,925.43e-18,254.29e-18,579.941e-18
480e-3,0,200e-3,20,14e-9,1.4942e-3,484.966e-18,-350.443e-3,249.455e-6,-155.837e-6,-144.876e-18,966.031e-18,268.337e-18,606.494e-18
500e-3,0,200e-3,20,14e-9,1.6094e-3,496.07e-18,-350.443e-3,316.315e-6,-186.904e-6,-156.174e-18,1.0059e-15,283.625e-18,631.072e-18
520e-3,0,200e-3,20,14e-9,1.7061e-3,507.61e-18,-350.443e-3,394.914e-6,-220.091e-6,-166.245e-18,1.0442e-15,299.796e-18,653.267e-18
