vsg,vsd,vsb,fins,length,id,gm,gds,cdd,cgg
0.8,0.0,0.0,2.0,1.0,2.74e-13,-2.552066648883549e-12,0.0004801,7.932282363700064e-17,1.4809367454700862e-16
0.0,0.02,0.0,2.0,1.0,-1.427e-11,5.24360879053931e-10,5.04e-10,4.247845431122687e-17,4.3115074083594447e-17
0.02,0.02,0.0,2.0,1.0,-2.778e-11,9.128167566781775e-10,9.813e-10,4.276493320879228e-17,4.3719862867343655e-17
0.04,0.02,0.0,2.0,1.0,-5.41e-11,1.8026002536939728e-09,1.911e-09,4.308324309497607e-17,4.4356482639711235e-17
0.06,0.02,0.0,2.0,1.0,-1.053e-10,3.5062166960464763e-09,3.72e-09,4.340155298115986e-17,4.5009017906388e-17
0.08,0.02,0.0,2.0,1.0,-2.051e-10,6.825315324061665e-09,7.243e-09,4.373577836165284e-17,4.569338416168316e-17
0.1,0.02,0.0,2.0,1.0,-3.992e-10,1.32829328239285e-08,1.41e-08,4.4085919236455016e-17,4.640958140559669e-17
0.12,0.02,0.0,2.0,1.0,-7.769e-10,2.5823458379718325e-08,2.745e-08,4.445197560556637e-17,4.7141694143819403e-17
0.14,0.02,0.0,2.0,1.0,-1.511e-09,5.021360638227607e-08,5.341e-08,4.481803197467773e-17,4.79056378706605e-17
0.16,0.02,0.0,2.0,1.0,-2.937e-09,9.737625833652645e-08,1.039e-07,4.5184088343789086e-17,4.871732808042916e-17
0.18,0.02,0.0,2.0,1.0,-5.696e-09,1.8810603354348963e-07,2.017e-07,4.5581975701518825e-17,4.9608595761743775e-17
0.2,0.02,0.0,2.0,1.0,-1.101e-08,3.6128920654803514e-07,3.907e-07,4.601169404786695e-17,5.067493388045948e-17
0.22,0.02,0.0,2.0,1.0,-2.114e-08,6.835878414159751e-07,7.534e-07,4.650507437145182e-17,5.204366639104978e-17
0.24,0.02,0.0,2.0,1.0,-4.008e-08,1.2652840365810378e-06,1.44e-06,4.712577864951021e-17,5.400127219108009e-17
0.26,0.02,0.0,2.0,1.0,-7.443e-08,2.249417694983633e-06,2.709e-06,4.796929984789726e-17,5.689789215535258e-17
0.28,0.02,0.0,2.0,1.0,-1.336e-07,3.765867627550138e-06,4.965e-06,4.916296192108647e-17,6.103592067574187e-17
0.3,0.02,0.0,2.0,1.0,-2.287e-07,5.828436643688825e-06,8.739e-06,5.0770426846314614e-17,6.649493522379388e-17
0.32,0.02,0.0,2.0,1.0,-3.692e-07,8.26095373299735e-06,1.457e-05,5.275986363496331e-17,7.290887943039725e-17
0.34,0.02,0.0,2.0,1.0,-5.598e-07,1.0792904736790556e-05,2.284e-05,5.495620184963146e-17,7.968888000611201e-17
0.36,0.02,0.0,2.0,1.0,-7.997e-07,1.3142198863155654e-05,3.363e-05,5.716845555860881e-17,8.624606366149809e-17
0.38,0.02,0.0,2.0,1.0,-1.084e-06,1.5267915041433604e-05,4.68e-05,5.923746981880345e-17,9.23098669932993e-17
0.4,0.02,0.0,2.0,1.0,-1.408e-06,1.7030603897500387e-05,6.205e-05,6.1131413641597e-17,9.773705055273293e-17
0.42,0.02,0.0,2.0,1.0,-1.763e-06,1.8459160351039505e-05,7.906e-05,6.281845603837109e-17,1.0260719181134493e-16
0.44,0.02,0.0,2.0,1.0,-2.145e-06,1.9682353897140704e-05,9.753e-05,6.43304279977441e-17,1.0695212175775368e-16
0.46,0.02,0.0,2.0,1.0,-2.548e-06,2.0560943098957225e-05,0.0001172,6.56991605083344e-17,1.108673333578143e-16
0.48,0.02,0.0,2.0,1.0,-2.966e-06,2.1223512985948767e-05,0.0001377,6.694056906445118e-17,1.1441648858876357e-16
0.5,0.02,0.0,2.0,1.0,-3.396e-06,2.174472439640589e-05,0.0001589,6.805465366609445e-17,1.1764733393352904e-16
0.52,0.02,0.0,2.0,1.0,-3.834e-06,2.1997228707346108e-05,0.0001806,6.908916079619177e-17,1.2062353136934749e-16
0.54,0.02,0.0,2.0,1.0,-4.275e-06,2.2116120293487448e-05,0.0002026,7.002817496043395e-17,1.2337691188483728e-16
0.56,0.02,0.0,2.0,1.0,-4.718e-06,2.2138089718099642e-05,0.0002247,7.091944264174857e-17,1.2593930646861678e-16
0.58,0.02,0.0,2.0,1.0,-5.159e-06,2.1931240273274385e-05,0.0002467,7.173113285151724e-17,1.2832663061499522e-16
0.6,0.02,0.0,2.0,1.0,-5.595e-06,2.1686828948443595e-05,0.0002686,7.249507657835833e-17,1.3057071531259095e-16
0.62,0.02,0.0,2.0,1.0,-6.026e-06,2.1371323692589953e-05,0.0002903,7.321127382227186e-17,1.3268747605571315e-16
0.64,0.02,0.0,2.0,1.0,-6.449e-06,2.0927715960716502e-05,0.0003116,7.3895640077567e-17,1.3467691284436184e-16
0.66,0.02,0.0,2.0,1.0,-6.863e-06,2.0467732304303655e-05,0.0003325,7.45322598499346e-17,1.3655494117284622e-16
0.68,0.02,0.0,2.0,1.0,-7.267e-06,1.9901234581704947e-05,0.0003529,7.513704863368379e-17,1.3833747653547543e-16
0.7,0.02,0.0,2.0,1.0,-7.659e-06,1.9327289288758502e-05,0.0003728,7.571000642881461e-17,1.4004043442655872e-16
0.72,0.02,0.0,2.0,1.0,-8.04e-06,1.873956818314653e-05,0.000392,7.626704872963625e-17,1.4164789935178686e-16
0.74,0.02,0.0,2.0,1.0,-8.408e-06,1.8064357818415602e-05,0.0004107,7.677634454753032e-17,1.4319170229977826e-16
0.76,0.02,0.0,2.0,1.0,-8.763e-06,1.7453040623310034e-05,0.0004288,7.728564036542437e-17,1.446559277762237e-16
0.78,0.02,0.0,2.0,1.0,-9.106e-06,1.682343960822464e-05,0.0004462,7.774718970039088e-17,1.4607240676974154e-16
0.8,0.02,0.0,2.0,1.0,-9.435e-06,1.606984197079516e-05,0.0004629,7.820873903535738e-17,1.4742522378602265e-16
0.0,0.04,0.0,2.0,1.0,-2.169e-11,8.010640205737589e-10,2.646e-10,4.1889581021786857e-17,4.284451068033823e-17
0.02,0.04,0.0,2.0,1.0,-4.223e-11,1.3854474011249483e-09,5.152e-10,4.216014442504308e-17,4.3433383969778237e-17
0.04,0.04,0.0,2.0,1.0,-8.222e-11,2.7420942751658676e-09,1.003e-09,4.244662332260849e-17,4.4038172753527445e-17
0.06,0.04,0.0,2.0,1.0,-1.601e-10,5.32885064633272e-09,1.953e-09,4.276493320879228e-17,4.469070802020421e-17
0.08,0.04,0.0,2.0,1.0,-3.117e-10,1.0368731992981477e-08,3.803e-09,4.308324309497607e-17,4.535915878119017e-17
0.1,0.04,0.0,2.0,1.0,-6.067e-10,2.019446105284413e-08,7.405e-09,4.341746847546905e-17,4.6059440530794513e-17
0.12,0.04,0.0,2.0,1.0,-1.181e-09,3.926438770750192e-08,1.442e-08,4.3767609350271225e-17,4.679155326901723e-17
0.14,0.04,0.0,2.0,1.0,-2.297e-09,7.632399810611648e-08,2.806e-08,4.413366571938258e-17,4.753958150154914e-17
0.16,0.04,0.0,2.0,1.0,-4.466e-09,1.4824939135122571e-07,5.459e-08,4.449972208849394e-17,4.833535621700862e-17
0.18,0.04,0.0,2.0,1.0,-8.668e-09,2.8644254459107455e-07,1.061e-07,4.4865778457605296e-17,4.919479290970485e-17
0.2,0.04,0.0,2.0,1.0,-1.677e-08,5.517958609303349e-07,2.061e-07,4.5263665815335035e-17,5.01974690511838e-17
0.22,0.04,0.0,2.0,1.0,-3.228e-08,1.048565594461555e-06,3.991e-07,4.569338416168316e-17,5.147070859591896e-17
0.24,0.04,0.0,2.0,1.0,-6.146e-08,1.958121199420424e-06,7.69e-07,4.618676448526803e-17,5.32214129699298e-17
0.26,0.04,0.0,2.0,1.0,-1.15e-07,3.5280153382518478e-06,1.468e-06,4.6807468763326415e-17,5.576789205940013e-17
0.28,0.04,0.0,2.0,1.0,-2.088e-07,6.032281975162862e-06,2.757e-06,4.763507446740428e-17,5.939662476189534e-17
0.3,0.04,0.0,2.0,1.0,-3.635e-07,9.61950565724017e-06,5.041e-06,4.879690555197511e-17,6.423493503188896e-17
0.32,0.04,0.0,2.0,1.0,-5.996e-07,1.4111078160022141e-05,8.847e-06,5.035662399427569e-17,7.009183693767071e-17
0.34,0.04,0.0,2.0,1.0,-9.311e-07,1.907690314483411e-05,1.471e-05,5.2266483311378436e-17,7.653761213289248e-17
0.36,0.04,0.0,2.0,1.0,-1.362e-06,2.3941217076364947e-05,2.3e-05,5.438324405450064e-17,8.3047049305351e-17
0.38,0.04,0.0,2.0,1.0,-1.886e-06,2.8392611315855655e-05,3.38e-05,5.651592029193204e-17,8.925409208593491e-17
0.4,0.04,0.0,2.0,1.0,-2.494e-06,3.2287451889557584e-05,4.694e-05,5.85531035635083e-17,9.493592355431559e-17
0.42,0.04,0.0,2.0,1.0,-3.173e-06,3.550653904279189e-05,6.216e-05,6.041521639768348e-17,1.0006071272187461e-16
0.44,0.04,0.0,2.0,1.0,-3.91e-06,3.808538993627136e-05,7.912e-05,6.210225879445756e-17,1.0466029057723037e-16
0.46,0.04,0.0,2.0,1.0,-4.693e-06,4.015105952959993e-05,9.752e-05,6.363014624813976e-17,1.0879831909761966e-16
0.48,0.04,0.0,2.0,1.0,-5.513e-06,4.175961042304715e-05,0.0001171,6.498296326442087e-17,1.125384602602792e-16
0.5,0.04,0.0,2.0,1.0,-6.36e-06,4.285973725592979e-05,0.0001375,6.622437182053766e-17,1.1594437604244576e-16
0.52,0.04,0.0,2.0,1.0,-7.225e-06,4.360083935143362e-05,0.0001586,6.735437191649012e-17,1.190638129270469e-16
0.54,0.04,0.0,2.0,1.0,-8.102e-06,4.403638429677324e-05,0.0001801,6.838887904658744e-17,1.219445173970102e-16
0.56,0.04,0.0,2.0,1.0,-8.984e-06,4.41031024199064e-05,0.0002019,6.93438087051388e-17,1.2460240494664488e-16
0.58,0.04,0.0,2.0,1.0,-9.865e-06,4.4000765142279226e-05,0.0002238,7.023507638645342e-17,1.2708522205887843e-16
0.6,0.04,0.0,2.0,1.0,-1.074e-05,4.3293275889294734e-05,0.0002457,7.106268209053127e-17,1.2940888422802012e-16
0.62,0.04,0.0,2.0,1.0,-1.16e-05,4.307637178127165e-05,0.0002674,7.182662581737236e-17,1.3158930694837906e-16
0.64,0.04,0.0,2.0,1.0,-1.246e-05,4.240063578381976e-05,0.0002889,7.25428230612859e-17,1.3364240571426452e-16
0.66,0.04,0.0,2.0,1.0,-1.329e-05,4.0820283481047995e-05,0.00031,7.322718931658105e-17,1.3558409601998564e-16
0.68,0.04,0.0,2.0,1.0,-1.41e-05,4.0319031894392656e-05,0.0003306,7.387972458325782e-17,1.3741437786554244e-16
0.7,0.04,0.0,2.0,1.0,-1.49e-05,3.9403188140180676e-05,0.0003508,7.448451336700702e-17,1.3916508223955328e-16
0.72,0.04,0.0,2.0,1.0,-1.567e-05,3.756741394248979e-05,0.0003705,7.505747116213785e-17,1.40820293647709e-16
0.74,0.04,0.0,2.0,1.0,-1.641e-05,3.6827957692266566e-05,0.0003896,7.561451346295949e-17,1.4239592758431878e-16
0.76,0.04,0.0,2.0,1.0,-1.714e-05,3.562035448723596e-05,0.000408,7.612380928085354e-17,1.4390789954369178e-16
0.78,0.04,0.0,2.0,1.0,-1.783e-05,3.369022355758507e-05,0.0004259,7.663310509874761e-17,1.4535620952582801e-16
0.8,0.04,0.0,2.0,1.0,-1.85e-05,3.3603795067425765e-05,0.0004431,7.711056992802329e-17,1.4672494203641834e-16
0.0,0.06,0.0,2.0,1.0,-2.563e-11,9.468435744561853e-10,1.431e-10,4.1316623226656033e-17,4.2589862771391194e-17
